"Longitude"	"Latitude"	"Date"	"Nkill"
"223"	44.1365098939218	33.3059009535545	"2013-12-01"	2
"224"	44.059345526769	33.2946993658607	"2013-12-02"	0
"225"	44.0637991002753	33.295016414645	"2013-12-02"	0
"226"	44.0674689151897	33.2856709241689	"2013-12-02"	1
"227"	44.13184163818	33.3040020213211	"2013-12-03"	2
"228"	44.1346480357168	33.2959573643356	"2013-12-19"	5
"229"	44.0749154973767	33.3014048842907	"2013-12-22"	1
"230"	44.0638186029197	33.28959578042	"2013-12-23"	6
"231"	44.0669008865758	33.283441202469	"2013-12-23"	2
"232"	44.0678865065883	33.2884906825292	"2013-12-29"	4
"233"	44.7209835417204	33.9032634901075	"2011-11-27"	0
"234"	30.7909939652011	12.1350412098744	"2013-05-31"	2
"235"	44.5620462091463	33.7968726248853	"2012-02-19"	3
"236"	42.5962304149149	36.423187853964	"2007-11-11"	1
"237"	44.9296707854666	33.9206229913854	"2008-04-17"	46
"238"	68.0965072454667	33.1870343807293	"2009-06-30"	2
"239"	36.280368590215	33.5259009599396	"2012-09-02"	0
"240"	50.5136990896869	26.21145247923	"2013-10-19"	0
"241"	44.7818301859474	33.9315569486165	"2012-02-06"	0
"242"	44.7635013075576	33.9189805073355	"2012-05-26"	0
"243"	44.7852718251089	33.935347825656	"2013-03-06"	0
"244"	44.7789693613512	33.9334926940755	"2013-09-28"	0
"245"	44.7641102960728	33.9183520398776	"2013-10-23"	0
"246"	44.7832527697341	33.9172902520767	"2005-06-20"	2
"247"	44.769429739674	33.9351285586481	"2005-11-19"	37
"248"	44.7686416059382	33.926961636578	"2007-05-15"	32
"249"	44.7675808569485	33.9232736027309	"2008-04-13"	1
"250"	44.7714584431307	33.9278185324346	"2010-09-16"	2
"251"	44.7767229483438	33.9267627670777	"2010-10-09"	0
"252"	32.1103944766913	30.5528452882791	"2013-07-20"	0
"253"	35.2342259511624	31.7577442652819	"2013-01-14"	0
"254"	29.239149538397	12.3472577124437	"2013-11-17"	1
"255"	7.4815800226286	9.06856320679262	"2011-05-29"	2
"256"	7.48304204950177	9.05738722540588	"2012-04-04"	0
"257"	7.4815201234638	9.06101006253772	"2012-04-26"	5
"258"	7.88887545083005	8.85157222231223	"2012-06-22"	0
"259"	7.46508525173867	9.07290044918551	"2012-07-03"	0
"260"	7.48412892039425	9.07333807614053	"2012-11-26"	2
"261"	7.47728696238647	9.06127871496635	"2013-04-15"	0
"262"	7.48618497797697	9.05945980442279	"2013-11-22"	0
"263"	46.0588797121423	13.6439566342396	"2013-10-17"	1
"264"	28.4367422368035	9.58576234759074	"2011-05-10"	0
"265"	28.4280729966827	9.58849160966706	"2011-08-02"	4
"266"	28.4281215608123	9.58368814410614	"2013-05-04"	2
"267"	-99.8876945482175	16.8640712936642	"2005-07-06"	2
"268"	-99.8788577744206	16.8686139213154	"2007-02-06"	4
"269"	96.7296442502647	4.7099795049506	"2003-05-01"	1
"270"	96.7251356724047	4.71231429728053	"2009-02-04"	1
"271"	-75.889280819717	1.82349541944416	"2013-12-14"	1
"272"	41.6453291285426	42.6887308495788	"2009-03-29"	0
"273"	-74.553194323997	8.55697060381137	"2003-03-26"	1
"274"	70.665736333981	34.0726409367671	"2012-07-06"	0
"275"	70.6622841988009	34.0860915038281	"2012-07-10"	0
"276"	70.657572683093	34.091737850929	"2012-08-08"	3
"277"	70.6714606015448	34.0767391887413	"2012-08-13"	0
"278"	70.6592970981885	34.0737994807412	"2012-09-29"	1
"279"	71.4871447336669	33.9770365002355	"2013-11-28"	0
"280"	71.4625624560527	33.954671857045	"2012-02-01"	0
"281"	71.4596452784001	33.9682434410205	"2013-11-14"	3
"282"	71.4470570358919	33.994624844241	"2012-02-12"	0
"283"	71.4702216722347	33.9735562394695	"2012-02-03"	4
"284"	125.299058932061	8.91297391581429	"2013-02-23"	0
"285"	35.0752789608829	32.9359644195498	"2013-08-22"	0
"286"	44.7223512734682	13.704225425971	"2013-03-19"	0
"287"	44.728260027723	13.6973469022295	"2008-06-16"	0
"288"	44.7323943373997	13.7080170919804	"2008-07-07"	0
"289"	44.7332331315818	13.7097811905259	"2010-02-19"	2
"290"	44.732683530405	13.6968257876776	"2010-05-04"	1
"291"	44.7284152427473	13.6932228385482	"2010-06-20"	4
"292"	44.7223452800902	13.6922612001619	"2010-07-27"	0
"293"	44.7284402531775	13.7094197463907	"2010-09-22"	1
"294"	44.7347097906441	13.6917789385898	"2010-09-22"	1
"295"	44.7336574075761	13.7010877332475	"2010-11-04"	0
"296"	44.734927696294	13.6940405707073	"2010-11-04"	2
"297"	44.7221893589169	13.7053947558778	"2010-11-11"	0
"298"	44.7264063103887	13.7049542596622	"2010-12-12"	0
